Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0113","Rice","2022","2022","t","0.67","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0113","Rice","2023","2023","t","0.56","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0113","Rice","2024","2024","t","0.38","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0111","Wheat","2010","2010","t","50274","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0111","Wheat","2014","2014","t","53869.15","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0111","Wheat","2015","2015","t","516576.69","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0111","Wheat","2018","2018","t","65331.2","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0111","Wheat","2021","2021","t","64050","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0111","Wheat","2023","2023","t","113227.31","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0111","Wheat","2024","2024","t","258089.16","A","Official value"
"TM","Detailed trade matrix","096","Brunei Darussalam","764","Thailand","5910","Export quantity","0113","Rice","2022","2022","t","0","A","Official value"
"TM","Detailed trade matrix","100","Bulgaria","764","Thailand","5910","Export quantity","0111","Wheat","2013","2013","t","9070","A","Official value"
"TM","Detailed trade matrix","100","Bulgaria","764","Thailand","5910","Export quantity","0111","Wheat","2019","2019","t","95601.8","A","Official value"
"TM","Detailed trade matrix","100","Bulgaria","764","Thailand","5910","Export quantity","0111","Wheat","2020","2020","t","116637","A","Official value"
"TM","Detailed trade matrix","100","Bulgaria","764","Thailand","5910","Export quantity","0111","Wheat","2021","2021","t","59610","A","Official value"
"TM","Detailed trade matrix","100","Bulgaria","764","Thailand","5910","Export quantity","0111","Wheat","2023","2023","t","398268.99","A","Official value"
"TM","Detailed trade matrix","100","Bulgaria","764","Thailand","5910","Export quantity","0111","Wheat","2024","2024","t","428610.7","A","Official value"
"TM","Detailed trade matrix","116","Cambodia","764","Thailand","5910","Export quantity","0113","Rice","2024","2024","t","7570","A","Official value"
"TM","Detailed trade matrix","124","Canada","004","Afghanistan","5910","Export quantity","0111","Wheat","1991","1991","t","7800","A","Official value"
"TM","Detailed trade matrix","124","Canada","004","Afghanistan","5910","Export quantity","0111","Wheat","1995","1995","t","29999","A","Official value"
"TM","Detailed trade matrix","124","Canada","004","Afghanistan","5910","Export quantity","0111","Wheat","2001","2001","t","519","X","Value from external organization"
"TM","Detailed trade matrix","124","Canada","004","Afghanistan","5910","Export quantity","0111","Wheat","2003","2003","t","1020","A","Official value"
"TM","Detailed trade matrix","124","Canada","004","Afghanistan","5910","Export quantity","0111","Wheat","2005","2005","t","2001","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0113","Rice","1994","1994","t","0","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0113","Rice","2018","2018","t","86.99","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1987","1987","t","179","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1988","1988","t","32031","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1989","1989","t","61406","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1990","1990","t","75600","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1991","1991","t","125209","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1992","1992","t","67366","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1993","1993","t","18807","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1994","1994","t","104165","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1995","1995","t","130494","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1996","1996","t","190459","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1997","1997","t","146781","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1998","1998","t","96765","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","1999","1999","t","92144","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2000","2000","t","168898","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2001","2001","t","307193","X","Value from external organization"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2002","2002","t","190292","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2003","2003","t","90401","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2004","2004","t","154422","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2005","2005","t","28188","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2006","2006","t","153980","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2007","2007","t","326262","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2008","2008","t","88883","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2009","2009","t","136644","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2010","2010","t","137457","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2011","2011","t","337750","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2012","2012","t","187072","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2013","2013","t","131092","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2014","2014","t","109184","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2015","2015","t","348564","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2016","2016","t","105113","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2017","2017","t","117629.99","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2018","2018","t","123301","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2019","2019","t","303055","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2020","2020","t","284493","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2021","2021","t","159186","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2022","2022","t","225370","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2023","2023","t","250341","A","Official value"
"TM","Detailed trade matrix","124","Canada","764","Thailand","5910","Export quantity","0111","Wheat","2024","2024","t","239874","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","004","Afghanistan","5910","Export quantity","0111","Wheat","2002","2002","t","3","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","004","Afghanistan","5910","Export quantity","0111","Wheat","2008","2008","t","4380","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","004","Afghanistan","5910","Export quantity","0111","Wheat","2009","2009","t","8100","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","004","Afghanistan","5910","Export quantity","0111","Wheat","2021","2021","t","2564","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","004","Afghanistan","5910","Export quantity","0111","Wheat","2022","2022","t","780","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","764","Thailand","5910","Export quantity","0113","Rice","2015","2015","t","0.04","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","764","Thailand","5910","Export quantity","0113","Rice","2016","2016","t","0.01","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","764","Thailand","5910","Export quantity","0113","Rice","2020","2020","t","0","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","764","Thailand","5910","Export quantity","0111","Wheat","2002","2002","t","20","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","764","Thailand","5910","Export quantity","0111","Wheat","2003","2003","t","80","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","764","Thailand","5910","Export quantity","0111","Wheat","2005","2005","t","6287","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","764","Thailand","5910","Export quantity","0111","Wheat","2012","2012","t","0","A","Official value"
"TM","Detailed trade matrix","158","China, Taiwan Province of","764","Thailand","5910","Export quantity","0113","Rice","2004","2004","t","0","A","Official value"
"TM","Detailed trade matrix","158","China, Taiwan Province of","764","Thailand","5910","Export quantity","0111","Wheat","1997","1997","t","0","A","Official value"
"TM","Detailed trade matrix","208","Denmark","764","Thailand","5910","Export quantity","0111","Wheat","2010","2010","t","54000","A","Official value"
"TM","Detailed trade matrix","208","Denmark","764","Thailand","5910","Export quantity","0111","Wheat","2015","2015","t","48795.6","A","Official value"
"TM","Detailed trade matrix","208","Denmark","764","Thailand","5910","Export quantity","0111","Wheat","2020","2020","t","0.11","A","Official value"
"TM","Detailed trade matrix","208","Denmark","764","Thailand","5910","Export quantity","0111","Wheat","2021","2021","t","0.2","A","Official value"
"TM","Detailed trade matrix","246","Finland","004","Afghanistan","5910","Export quantity","0111","Wheat","1989","1989","t","1440","A","Official value"
"TM","Detailed trade matrix","246","Finland","004","Afghanistan","5910","Export quantity","0111","Wheat","1991","1991","t","1560","A","Official value"
"TM","Detailed trade matrix","246","Finland","764","Thailand","5910","Export quantity","0113","Rice","2020","2020","t","0","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","1991","1991","t","7000","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","1992","1992","t","10000","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","1993","1993","t","10000","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","1994","1994","t","14000","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","1995","1995","t","8000","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","1996","1996","t","22457","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","1998","1998","t","8000","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","2001","2001","t","12500","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","2002","2002","t","845","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","2003","2003","t","1515","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","2004","2004","t","753","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","2006","2006","t","53","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","2007","2007","t","33","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","2008","2008","t","122","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","2009","2009","t","36148","A","Official value"
