Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0111","Wheat","2014","2014","t","0","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2015","2015","t","176538.59","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0111","Wheat","2015","2015","t","0","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2016","2016","t","258472.69","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0111","Wheat","2016","2016","t","0.01","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2017","2017","t","728124","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2018","2018","t","692468","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2019","2019","t","457458.88","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2020","2020","t","598254.11","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0111","Wheat","2020","2020","t","20.68","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2021","2021","t","575749.94","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2022","2022","t","733011.93","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2023","2023","t","482890.19","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0111","Wheat","2023","2023","t","0.01","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2024","2024","t","274399.39","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0111","Wheat","2024","2024","t","2718.04","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1961","1961","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1961","1961","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1962","1962","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1962","1962","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1963","1963","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1963","1963","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1964","1964","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1964","1964","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1965","1965","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1965","1965","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1966","1966","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1966","1966","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1967","1967","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1967","1967","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1968","1968","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1968","1968","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1969","1969","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1969","1969","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1970","1970","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1970","1970","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1971","1971","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1971","1971","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1972","1972","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1972","1972","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1973","1973","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1973","1973","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1974","1974","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1974","1974","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1975","1975","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1975","1975","t","1","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1976","1976","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1976","1976","t","28130","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1977","1977","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1977","1977","t","42617","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1978","1978","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1978","1978","t","20","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1979","1979","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1979","1979","t","2","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1980","1980","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1980","1980","t","7885","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1981","1981","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1981","1981","t","12700","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1982","1982","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1982","1982","t","3897","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1983","1983","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1983","1983","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1984","1984","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1984","1984","t","210","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1985","1985","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1985","1985","t","1500","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1986","1986","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1986","1986","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1987","1987","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1987","1987","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1988","1988","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1988","1988","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1989","1989","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1989","1989","t","2","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1990","1990","t","0","A","Official value",""
